ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
4973,yes,yes,Ravazzotto Sandra,,45.11382,8.44395
28556,yes,,La Tortonese di Grazioli Carlo e C. S.N.C.,,45.15369,8.44868
31339,yes,,Nuova Sidap S.R.L.,Esso,44.81959,8.59493
3622,yes,,A.D.S. Bormida Ovest di Max Stefano,Total Erg,44.81716,8.59392
13220,yes,,T.A.M. Petrol di Molina Giuseppe e Gianluca S.A.S,Tamoil,44.85094,8.61301
3595,yes,,3 T S.N.C. di Tartaglione Sabatino e C.,Tamoil,44.93426,8.85341
41395,yes,,Tc Oil di Torielli Daniele S.N.C.,,44.96857,8.87896
42151,yes,,Kerotris S.p.A.,Kerotris,45.16319,8.40355
19450,,yes,Traverso Andrea,,44.76703,8.81339
3877,yes,,Totalerg S.p.A.,Total Erg,44.76098,8.83841
3879,yes,,Totalerg S.p.A.,Total Erg,44.76012,8.83711
3801,yes,,Autobar di Ginetti G. & C. S.R.L.,Total Erg,44.80064,8.74867
